Source,Target,Score
TBK1,IKBKG,0.98
TBK1,IKBKE,1.0
TBK1,TICAM2,0.89
TBK1,TLR9,0.77
TBK1,TRIM26,0.88
TBK1,TNF,0.93
TBK1,DDX3X,1.0
TBK1,CHUK,0.96
TBK1,ANKRD28,0.73
TBK1,TRIM27,0.88
TBK1,TBKBP1,0.98
TBK1,MTOR,0.77
TBK1,MIB2,0.81
TBK1,PELI1,0.87
TBK1,SRC,0.85
TBK1,INSIG1,0.71
TBK1,IRF7,0.96
TBK1,TMEM173,1.0
TBK1,CNTN2,0.77
RNF41,TBK1,0.77
IFNB1,TBK1,0.85
PTPN11,TBK1,0.9
SHARPIN,TBK1,0.81
EXOC7,TBK1,0.77
TRAF6,TBK1,0.98
RELA,TBK1,0.76
TRIM4,TBK1,0.81
AZI2,TBK1,0.99
SPATA2,TBK1,0.81
TAB3,TBK1,0.84
NLRX1,TBK1,0.73
AKT1,TBK1,0.92
CEP170,TBK1,0.74
NUMA1,TBK1,0.77
CALCOCO2,TBK1,0.95
TLR4,TBK1,0.93
RSAD2,TBK1,0.75
STX11,TBK1,0.73
ANXA1,TBK1,0.73
TRAF3,TBK1,0.99
IRF3,TBK1,1.0
RBCK1,TBK1,0.81
IFIT3,TBK1,0.77
ZBP1,TBK1,0.92
HNRNPA2B1,TBK1,0.87
TNFAIP3,TBK1,0.89
IFIH1,TBK1,0.92
GAPDH,TBK1,0.76
BIRC2,TBK1,0.86
DDX58,TBK1,0.95
TAX1BP1,TBK1,0.89
IKBKB,TBK1,0.95
TRADD,TBK1,0.88
OCA2,TBK1,0.74
XIAP,TBK1,0.89
FMR1,TBK1,0.77
HSP90AB1,TBK1,0.88
MAVS,TBK1,0.99
TXLNG,TBK1,0.84
CYLD,TBK1,0.93
TXLNA,TBK1,0.84
HSP90AA1,TBK1,0.9
CASP8,TBK1,0.7
SIKE1,TBK1,0.93
TRAF1,TBK1,0.72
STRAP,TBK1,0.88
RRAGD,TBK1,0.77
MAP3K14,TBK1,0.82
HSPA4,MAPT,0.89
MAPK11,MAPT,0.76
MAPT,TUBB3,0.86
MAPT,LRRK2,0.76
P4HB,MAPT,0.85
PPID,MAPT,0.86
TUBA8,MAPT,0.73
SEPT1,MAPT,0.75
PPP1CA,MAPT,0.76
PSMD2,MAPT,0.76
YWHAG,MAPT,0.85
CASP3,MAPT,0.76
ANXA5,MAPT,0.82
CALM3,MAPT,0.88
S100B,MAPT,0.9
EGFR,MAPT,0.85
TRIM36,MAPT,0.76
MAPK13,MAPT,0.76
ATP5MC3,MAPT,0.85
EEF1A1,MAPT,0.76
CCT5,MAPT,0.76
SLC25A4,MAPT,0.87
GPM6A,MAPT,0.71
APP,MAPT,0.94
RPS27A,MAPT,0.76
SRP14,MAPT,0.76
CASP6,MAPT,0.76
DENR,MAPT,0.87
TUBB2B,MAPT,0.96
BIN1,MAPT,0.86
PRKCG,MAPT,0.74
APOE,MAPT,0.93
YWHAH,MAPT,0.76
TUBA4A,MAPT,0.86
PIN1,MAPT,0.76
SRSF6,MAPT,0.74
TUBA1B,MAPT,0.97
LRP1,MAPT,0.74
CSNK1A1,MAPT,0.76
YWHAE,MAPT,0.85
RPS6KB1,MAPT,0.76
HSPB1,MAPT,0.85
GSK3A,MAPT,0.76
PPIF,MAPT,0.75
ARMC1,MAPT,0.86
NEFM,MAPT,0.74
PPP2CB,MAPT,0.76
HNRNPL,MAPT,0.76
STUB1,MAPT,0.76
EEF1A2,MAPT,0.76
MAPK3,MAPT,0.76
EP300,MAPT,0.76
STX1B,MAPT,0.71
SIRT1,MAPT,0.76
ACHE,MAPT,0.84
MAPRE3,MAPT,0.73
GSK3B,MAPT,0.92
HSP90AA1,MAPT,0.93
PRKACA,MAPT,0.76
DNAJA2,MAPT,0.85
SYT1,MAPT,0.77
HSPA5,MAPT,0.76
PPP5C,MAPT,0.76
SYN1,MAPT,0.89
FKBP4,MAPT,0.75
MARK4,MAPT,0.75
ACTG1,MAPT,0.76
ANXA2,MAPT,0.88
PRKN,MAPT,0.76
EWSR1,MAPT,0.73
PTPN11,MAPT,0.86
MAPT,IGLL5,0.9
MAPT,VDAC1,0.97
MAPT,DCTN1,0.76
MAPT,HSPA1B,0.77
MAPT,SPTAN1,0.76
MAPT,SRC,0.9
SFN,MAPT,0.85
TH,MAPT,0.71
DCTN2,MAPT,0.76
YWHAB,MAPT,0.87
CTNNB1,MAPT,0.7
TUBA1A,MAPT,0.76
CDK1,MAPT,0.76
HTRA1,MAPT,0.88
CDK5,MAPT,0.9
HNRNPH1,MAPT,0.76
YWHAZ,MAPT,0.93
AP2M1,MAPT,0.76
PSMC2,MAPT,0.76
UBQLN4,MAPT,0.81
ATP5MC1,MAPT,0.85
AKT1,MAPT,0.76
PIK3R1,MAPT,0.76
SNCA,MAPT,0.86
CSNK1D,MAPT,0.76
SRPK2,MAPT,0.76
YWHAQ,MAPT,0.76
ATP5MC2,MAPT,0.85
PACSIN1,MAPT,0.76
STAU1,MAPT,0.76
SGK1,MAPT,0.76
PTPA,MAPT,0.76
MARK1,MAPT,0.76
SFPQ,MAPT,0.84
PPP2CA,MAPT,0.76
DDX6,MAPT,0.76
HSPA8,MAPT,0.89
RPL28,MAPT,0.76
MAPK8,MAPT,0.76
UBE2W,MAPT,0.86
LGMN,MAPT,0.76
RPLP0,MAPT,0.76
MAPRE1,MAPT,0.86
ABL1,MAPT,0.76
FKBP5,MAPT,0.9
HDAC6,MAPT,0.77
HSP90AB1,MAPT,0.91
DNAJA1,MAPT,0.76
DNM1L,MAPT,0.73
MAP2,MAPT,0.76
ACTB,MAPT,0.76
MARK2,MAPT,0.86
SNCB,MAPT,0.71
CAMK2A,MAPT,0.76
MAPK9,MAPT,0.76
FYN,MAPT,0.97
FIZ1,CHCHD10,0.7
APOO,CHCHD10,0.96
MICOS10,CHCHD10,0.89
BNC2,CHCHD10,0.73
KLF13,CHCHD10,0.73
CLPX,CHCHD10,0.73
CHCHD6,CHCHD10,0.97
APOOL,CHCHD10,0.95
CMAS,CHCHD10,0.73
CHCHD2,CHCHD10,0.86
MICOS13,CHCHD10,0.97
IMMT,CHCHD10,0.97
CHCHD3,CHCHD10,0.97
