Source,Target,combined_score
ATP5F1C,NDUFS4,0.923
ATP5F1C,NDUFB8,0.913
ATP5F1C,NDUFA7,0.69
ATP5F1C,ATP5PD,0.999
ATP5F1C,UQCRFS1,0.97
ATP5F1C,CYCS,0.668
ATP5F1C,UQCRH,0.684
ATP5F1C,NDUFS8,0.93
ATP5F1C,CYC1,0.97
ATP5F1C,COX5A,0.988
ATP5F1C,NDUFV2,0.971
ATP5F1C,NDUFA12,0.969
ATP5F1C,UQCR10,0.738
ATP5F1C,NDUFA4,0.802
ATP5F1C,NDUFV3,0.508
ATP5F1C,NDUFB1,0.425
ATP5F1C,COX7A2L,0.458
ATP5F1C,MT-ND3,0.462
ATP5F1C,UQCR11,0.467
ATP5F1C,NDUFA3,0.471
ATP5F1C,NDUFA11,0.477
ATP5F1C,MT-ND5,0.48
ATP5F1C,NDUFA1,0.498
ATP5F1C,MT-CO3,0.498
ATP5F1C,MT-CYB,0.519
ATP5F1C,MT-ND2,0.523
ATP5F1C,COX6B2,0.538
ATP5F1C,MT-ND4,0.547
ATP5F1C,COX7B,0.591
ATP5F1C,MT-ND1,0.661
ATP5F1C,NDUFS5,0.67
ATP5F1C,MT-CO1,0.691
ATP5F1C,MT-CO2,0.699
ATP5F1C,COX6B1,0.718
ATP5F1C,COX7A2,0.721
ATP5F1C,VDAC1,0.751
ATP5F1C,NDUFB3,0.759
ATP5F1C,NDUFA6,0.799
ATP5F1C,SDHD,0.799
ATP5F1C,COX6C,0.823
ATP5F1C,SDHC,0.83
ATP5F1C,COX4I2,0.863
ATP5F1C,NDUFA8,0.869
ATP5F1C,NDUFA5,0.873
ATP5F1C,COX7C,0.882
ATP5F1C,NDUFA13,0.883
ATP5F1C,NDUFAB1,0.889
ATP5F1C,COX4I1,0.907
ATP5F1C,UQCRQ,0.911
ATP5F1C,NDUFB6,0.917
ATP5F1C,NDUFV1,0.949
ATP5F1C,NDUFS2,0.95
ATP5F1C,NDUFS1,0.959
ATP5F1C,UQCRB,0.963
ATP5F1C,SDHB,0.968
ATP5F1C,MT-ATP8,0.993
ATP5F1C,ATP5MC2,0.998
ATP5F1C,ATP5PB,0.999
ATP5F1C,MT-ATP6,0.999
ATP5F1C,ATP5PF,0.999
ATP5F1C,ATP5MC1,0.999
ATP5F1D,NDUFB4,0.656
ATP5F1D,UQCRC1,0.968
ATP5F1D,UQCRHL,0.428
ATP5F1D,NDUFA1,0.458
ATP5F1D,MT-CO2,0.483
ATP5F1D,MT-CO1,0.493
ATP5F1D,NDUFS5,0.503
ATP5F1D,MT-CO3,0.51
ATP5F1D,NDUFA4,0.513
ATP5F1D,COX7A2,0.524
ATP5F1D,MT-ND3,0.531
ATP5F1D,MT-ND2,0.538
ATP5F1D,NDUFV3,0.538
ATP5F1D,MT-ND5,0.54
ATP5F1D,VDAC1,0.561
ATP5F1D,CYCS,0.57
ATP5F1D,NDUFA6,0.59
ATP5F1D,MT-ND4,0.593
ATP5F1D,NDUFA2,0.619
ATP5F1D,COX8A,0.621
ATP5F1D,NDUFS1,0.639
ATP5F1D,MT-CYB,0.639
ATP5F1D,SDHD,0.648
ATP5F1D,COX6B2,0.666
ATP5F1D,UQCRH,0.676
ATP5F1D,MT-ND1,0.713
ATP5F1D,NDUFA5,0.72
ATP5F1D,NDUFS4,0.734
ATP5F1D,SDHC,0.75
ATP5F1D,NDUFA12,0.752
ATP5F1D,NDUFA3,0.755
ATP5F1D,NDUFC2,0.755
ATP5F1D,NDUFA9,0.761
ATP5F1D,NDUFA11,0.772
ATP5F1D,COX6A2,0.799
ATP5F1D,COX6A1,0.808
ATP5F1D,COX6C,0.812
ATP5F1D,COX6B1,0.814
ATP5F1D,UQCRC2,0.824
ATP5F1D,NDUFA8,0.855
ATP5F1D,SDHA,0.863
ATP5F1D,NDUFA10,0.867
ATP5F1D,UQCR10,0.879
ATP5F1D,COX4I2,0.881
ATP5F1D,NDUFB6,0.887
ATP5F1D,COX7C,0.9
ATP5F1D,NDUFB5,0.901
ATP5F1D,NDUFS2,0.902
ATP5F1D,NDUFA7,0.903
ATP5F1D,NDUFS6,0.915
ATP5F1D,NDUFB9,0.922
ATP5F1D,UQCR11,0.922
ATP5F1D,NDUFAB1,0.924
ATP5F1D,NDUFB10,0.925
ATP5F1D,UQCRB,0.927
ATP5F1D,SDHB,0.931
ATP5F1D,COX4I1,0.933
ATP5F1D,NDUFA13,0.934
ATP5F1D,NDUFB8,0.935
ATP5F1D,UQCRQ,0.943
ATP5F1D,NDUFV2,0.944
ATP5F1D,NDUFS3,0.957
ATP5F1D,UQCRFS1,0.968
ATP5F1D,NDUFB7,0.97
ATP5F1D,COX5B,0.975
ATP5F1D,NDUFV1,0.98
ATP5F1D,NDUFS8,0.98
ATP5F1D,COX5A,0.98
ATP5F1D,CYC1,0.991
ATP5F1D,NDUFS7,0.992
ATP5F1D,MT-ATP8,0.995
ATP5F1D,ATP5MC2,0.998
ATP5F1D,MT-ATP6,0.999
ATP5F1D,ATP5PD,0.999
ATP5F1D,ATP5MC1,0.999
ATP5F1D,ATP5MC3,0.999
ATP5F1D,ATP5PF,0.999
ATP5F1D,ATP5PO,0.999
ATP5F1D,ATP5PB,0.999
ATP5F1D,ATP5F1E,0.999
ATP5F1E,NDUFB4,0.525
ATP5F1E,UQCRC1,0.503
ATP5F1E,NDUFB7,0.662
ATP5F1E,TUBB1,0.795
ATP5F1E,COX6A1,0.722
ATP5F1E,NDUFS7,0.527
ATP5F1E,NDUFS8,0.41
ATP5F1E,COX7A2L,0.413
ATP5F1E,NUP35,0.432
ATP5F1E,NDUFS2,0.434
ATP5F1E,SDHA,0.447
ATP5F1E,NDUFC1,0.45
ATP5F1E,MT-CO3,0.453
ATP5F1E,COX7B2,0.454
ATP5F1E,NDUFS3,0.46
ATP5F1E,NDUFS1,0.468
ATP5F1E,VAPB,0.468
ATP5F1E,NDUFV1,0.494
ATP5F1E,COX6B2,0.505
ATP5F1E,UQCRFS1,0.509
ATP5F1E,COX8A,0.521
ATP5F1E,NDUFC2,0.529
ATP5F1E,SDHD,0.533
ATP5F1E,NDUFB6,0.533
ATP5F1E,NDUFA11,0.542
ATP5F1E,NDUFA8,0.547
ATP5F1E,SDHB,0.558
ATP5F1E,COX6A2,0.576
ATP5F1E,NDUFS4,0.587
ATP5F1E,NDUFAB1,0.596
ATP5F1E,NDUFV2,0.597
ATP5F1E,CYC1,0.619
ATP5F1E,COX5A,0.62
ATP5F1E,NDUFB3,0.625
ATP5F1E,NDUFA12,0.633
ATP5F1E,COX6B1,0.658
ATP5F1E,NDUFA4,0.662
ATP5F1E,COX7B,0.669
ATP5F1E,NDUFB5,0.676
ATP5F1E,NDUFB8,0.681
ATP5F1E,NDUFB2,0.683
ATP5F1E,COX4I1,0.7
ATP5F1E,TUBB,0.702
ATP5F1E,UQCRB,0.709
ATP5F1E,NDUFS5,0.759
ATP5F1E,COX7A2,0.768
ATP5F1E,UQCRHL,0.772
ATP5F1E,NDUFV3,0.787
ATP5F1E,NDUFA3,0.791
ATP5F1E,NDUFA7,0.795
ATP5F1E,COX6C,0.796
ATP5F1E,NDUFS6,0.797
ATP5F1E,NDUFA13,0.799
ATP5F1E,NDUFB10,0.805
ATP5F1E,NDUFA6,0.809
ATP5F1E,NDUFA5,0.817
ATP5F1E,COX5B,0.821
ATP5F1E,NDUFB9,0.828
ATP5F1E,NDUFA1,0.84
ATP5F1E,NDUFA2,0.851
ATP5F1E,UQCRQ,0.863
ATP5F1E,UQCRH,0.864
ATP5F1E,UQCR11,0.915
ATP5F1E,COX7C,0.915
ATP5F1E,UQCR10,0.925
ATP5F1E,ATP5MC2,0.991
ATP5F1E,MT-ATP8,0.994
ATP5F1E,ATP5MC3,0.994
ATP5F1E,ATP5MC1,0.995
ATP5F1E,ATP5PO,0.999
ATP5F1E,ATP5PB,0.999
ATP5F1E,MT-ATP6,0.999
ATP5F1E,ATP5PD,0.999
ATP5F1E,ATP5PF,0.999
ATP5MC1,NDUFB4,0.58
ATP5MC1,UQCRC1,0.642
ATP5MC1,NDUFB7,0.703
ATP5MC1,COX6A1,0.673
ATP5MC1,NDUFS7,0.802
ATP5MC1,NDUFA2,0.62
ATP5MC1,NDUFA10,0.437
ATP5MC1,COX5B,0.838
ATP5MC1,NDUFB5,0.772
ATP5MC1,NDUFS3,0.855
ATP5MC1,SDHA,0.587
ATP5MC1,NDUFA9,0.697
ATP5MC1,UQCRC2,0.546
ATP5MC1,NDUFB10,0.565
ATP5MC1,PSMB6,0.481
ATP5MC1,NDUFS6,0.631
ATP5MC1,NDUFB9,0.691
ATP5MC1,NDUFC2,0.614
ATP5MC1,ATP5MC3,0.999
ATP5MC1,COX6A2,0.679
ATP5MC1,ATP5PO,0.994
ATP5MC1,NDUFS4,0.436
ATP5MC1,NDUFB8,0.91
ATP5MC1,NDUFA7,0.553
ATP5MC1,ATP5PD,0.999
ATP5MC1,UQCRFS1,0.953
ATP5MC1,CYCS,0.605
ATP5MC1,UQCRH,0.52
ATP5MC1,NDUFS8,0.756
ATP5MC1,CYC1,0.947
ATP5MC1,COX5A,0.879
ATP5MC1,COX8A,0.641
ATP5MC1,NDUFV2,0.64
ATP5MC1,NDUFA12,0.597
ATP5MC1,UQCR10,0.794
ATP5MC1,NDUFA4,0.483
ATP5MC1,NDUFV3,0.468
ATP5MC1,MT-CO1,0.586
ATP5MC1,MT-CYB,0.603
ATP5MC1,MTOR,0.442
ATP5MC1,MT-ATP6,0.999
ATP5MC1,MT-ND1,0.555
ATP5MC1,MT-ND4L,0.433
ATP5MC1,MT-ND5,0.49
ATP5MC1,MT-CO2,0.642
ATP5MC1,MT-ND4,0.54
ATP5MC1,MT-CO3,0.553
ATP5MC1,MT-ND2,0.522
ATP5MC1,MT-ND3,0.486
ATP5MC1,MT-ATP8,0.993
ATP5MC1,PSMB5,0.473
ATP5MC1,SDHC,0.491
ATP5MC1,NDUFS2,0.663
ATP5MC1,ATP5PB,0.999
ATP5MC1,COX7A2,0.791
ATP5MC1,NDUFA1,0.558
ATP5MC1,NDUFS5,0.504
ATP5MC1,NDUFA8,0.817
ATP5MC1,SDHB,0.612
ATP5MC1,SDHD,0.466
ATP5MC1,COX4I2,0.484
ATP5MC1,UQCRQ,0.844
ATP5MC1,NDUFB6,0.626
ATP5MC1,COX7B2,0.445
ATP5MC1,NDUFB2,0.475
ATP5MC1,NDUFA6,0.486
ATP5MC1,UQCRB,0.496
ATP5MC1,NDUFS1,0.503
ATP5MC1,NDUFA5,0.509
ATP5MC1,COX6B2,0.516
ATP5MC1,NDUFB1,0.57
ATP5MC1,NDUFB3,0.573
ATP5MC1,COX7C,0.599
ATP5MC1,NDUFC1,0.644
ATP5MC1,COX7B,0.647
ATP5MC1,VDAC1,0.665
ATP5MC1,NDUFA3,0.677
ATP5MC1,COX4I1,0.683
ATP5MC1,TOMM40,0.691
ATP5MC1,COX6B1,0.72
ATP5MC1,NDUFV1,0.724
ATP5MC1,COX6C,0.763
ATP5MC1,NDUFA11,0.77
ATP5MC1,NDUFA13,0.772
ATP5MC1,UQCR11,0.794
ATP5MC1,NDUFAB1,0.814
ATP5MC1,ATP5MC2,0.997
ATP5MC1,ATP5PF,0.997
ATP5MC2,NDUFB4,0.508
ATP5MC2,UQCRC1,0.57
ATP5MC2,NDUFB7,0.546
ATP5MC2,COX6A1,0.709
ATP5MC2,NDUFS7,0.623
ATP5MC2,NDUFA2,0.451
ATP5MC2,NDUFA10,0.461
ATP5MC2,COX5B,0.696
ATP5MC2,NDUFB5,0.718
ATP5MC2,NDUFS3,0.679
ATP5MC2,SDHA,0.503
ATP5MC2,NDUFA9,0.426
ATP5MC2,UQCRC2,0.439
ATP5MC2,NDUFB10,0.616
ATP5MC2,NDUFS6,0.463
ATP5MC2,NDUFB9,0.584
ATP5MC2,NDUFC2,0.451
ATP5MC2,ATP5MC3,0.998
ATP5MC2,COX6A2,0.615
ATP5MC2,ATP5PO,0.99
ATP5MC2,NDUFS4,0.516
ATP5MC2,NDUFB8,0.646
ATP5MC2,NDUFA7,0.462
ATP5MC2,ATP5PD,0.997
ATP5MC2,UQCRFS1,0.949
ATP5MC2,CYCS,0.505
ATP5MC2,UQCRH,0.435
ATP5MC2,NDUFS8,0.656
ATP5MC2,CYC1,0.705
ATP5MC2,COX5A,0.791
ATP5MC2,COX8A,0.511
ATP5MC2,NDUFV2,0.631
ATP5MC2,NDUFA12,0.46
ATP5MC2,UQCR10,0.478
ATP5MC2,NDUFA4,0.473
ATP5MC2,MT-CO1,0.539
ATP5MC2,MT-CYB,0.576
ATP5MC2,MT-ATP6,0.998
ATP5MC2,MT-ND1,0.544
ATP5MC2,MT-ND5,0.46
ATP5MC2,MT-CO2,0.647
ATP5MC2,MT-ND4,0.521
ATP5MC2,MT-CO3,0.562
ATP5MC2,MT-ND2,0.446
ATP5MC2,MT-ND3,0.461
ATP5MC2,MT-ATP8,0.975
ATP5MC2,SDHC,0.452
ATP5MC2,NDUFS2,0.627
ATP5MC2,ATP5PB,0.996
ATP5MC2,COX7A2,0.646
ATP5MC2,NDUFS5,0.476
ATP5MC2,NDUFA8,0.517
ATP5MC2,SDHB,0.546
ATP5MC2,COX4I2,0.433
ATP5MC2,UQCRQ,0.702
ATP5MC2,NDUFB6,0.516
ATP5MC2,NDUFA11,0.576
ATP5MC2,ATP5PF,0.994
ATP5MC2,NDUFB3,0.491
ATP5MC2,NDUFA5,0.459
ATP5MC2,NDUFA3,0.489
ATP5MC2,NDUFA13,0.519
ATP5MC2,COX7C,0.606
ATP5MC2,COX6C,0.551
ATP5MC2,UQCRB,0.511
ATP5MC2,NDUFC1,0.494
ATP5MC2,COX4I1,0.574
ATP5MC2,NDUFAB1,0.538
ATP5MC2,COX6B1,0.572
ATP5MC2,UQCR11,0.541
ATP5MC2,COX6B2,0.587
ATP5MC2,NDUFB1,0.409
ATP5MC2,COX7B,0.457
ATP5MC2,NDUFV1,0.489
ATP5MC3,NDUFB4,0.629
ATP5MC3,UQCRC1,0.614
ATP5MC3,NDUFB7,0.636
ATP5MC3,COX6A1,0.699
ATP5MC3,NDUFS7,0.572
ATP5MC3,NDUFA2,0.477
ATP5MC3,NDUFA10,0.456
ATP5MC3,COX5B,0.702
ATP5MC3,NDUFB5,0.804
ATP5MC3,NDUFS3,0.747
ATP5MC3,SDHA,0.555
ATP5MC3,NDUFA9,0.629
ATP5MC3,UQCRC2,0.59
ATP5MC3,NDUFB10,0.536
ATP5MC3,NDUFS6,0.619
ATP5MC3,NDUFB9,0.805
ATP5MC3,NDUFC2,0.622
ATP5MC3,COX8A,0.402
ATP5MC3,COX7A2L,0.416
ATP5MC3,COX4I2,0.433
ATP5MC3,NDUFA7,0.445
ATP5MC3,NDUFB2,0.448
ATP5MC3,SDHD,0.457
ATP5MC3,MT-ND2,0.462
ATP5MC3,NDUFB1,0.472
ATP5MC3,MT-ND5,0.475
ATP5MC3,NDUFA13,0.479
ATP5MC3,MT-ND3,0.483
ATP5MC3,NDUFA4,0.498
ATP5MC3,MT-ND4,0.513
ATP5MC3,HSPA5,0.523
ATP5MC3,NDUFS1,0.524
ATP5MC3,NDUFV1,0.527
ATP5MC3,NDUFS5,0.53
ATP5MC3,MT-CO3,0.534
ATP5MC3,MT-CO1,0.539
ATP5MC3,NDUFA11,0.541
ATP5MC3,NDUFA5,0.547
ATP5MC3,NDUFA6,0.554
ATP5MC3,MT-ND1,0.555
ATP5MC3,SDHC,0.559
ATP5MC3,SDHB,0.565
ATP5MC3,NDUFA1,0.57
ATP5MC3,COX6C,0.577
ATP5MC3,COX4I1,0.584
ATP5MC3,UQCRB,0.584
ATP5MC3,MT-CYB,0.589
ATP5MC3,COX7C,0.598
ATP5MC3,NDUFB6,0.601
ATP5MC3,COX7B,0.61
ATP5MC3,CYCS,0.612
ATP5MC3,COX6A2,0.613
ATP5MC3,UQCRH,0.615
ATP5MC3,MT-CO2,0.616
ATP5MC3,NDUFA8,0.621
ATP5MC3,NDUFS4,0.621
ATP5MC3,NDUFB3,0.626
ATP5MC3,UQCR11,0.631
ATP5MC3,NDUFC1,0.632
ATP5MC3,NDUFS8,0.658
ATP5MC3,UQCR10,0.668
ATP5MC3,NDUFS2,0.669
ATP5MC3,COX6B2,0.68
ATP5MC3,NDUFA12,0.751
ATP5MC3,NDUFB8,0.751
ATP5MC3,NDUFAB1,0.752
ATP5MC3,COX6B1,0.776
ATP5MC3,UQCRQ,0.817
ATP5MC3,NDUFV2,0.829
ATP5MC3,CYC1,0.841
ATP5MC3,COX7A2,0.867
ATP5MC3,COX5A,0.939
ATP5MC3,UQCRFS1,0.972
ATP5MC3,MT-ATP8,0.975
ATP5MC3,ATP5PO,0.992
ATP5MC3,ATP5PF,0.997
ATP5MC3,ATP5PD,0.998
ATP5MC3,MT-ATP6,0.998
ATP5MC3,ATP5PB,0.999
ATP5PB,NDUFB4,0.673
ATP5PB,UQCRC1,0.903
ATP5PB,NDUFB7,0.808
ATP5PB,COX6A1,0.734
ATP5PB,NDUFS7,0.767
ATP5PB,NDUFA2,0.675
ATP5PB,NDUFA10,0.697
ATP5PB,COX5B,0.872
ATP5PB,NDUFB5,0.954
ATP5PB,NDUFS3,0.874
ATP5PB,SDHA,0.755
ATP5PB,NDUFA9,0.853
ATP5PB,UQCRC2,0.973
ATP5PB,NDUFB10,0.717
ATP5PB,NDUFS6,0.599
ATP5PB,NDUFB9,0.815
ATP5PB,NDUFC2,0.71
ATP5PB,COX6A2,0.667
ATP5PB,ATP5PO,0.999
ATP5PB,NDUFS4,0.866
ATP5PB,NDUFB8,0.793
ATP5PB,NDUFA7,0.552
ATP5PB,ATP5PD,0.999
ATP5PB,UQCRFS1,0.969
ATP5PB,CYCS,0.486
ATP5PB,UQCRH,0.809
ATP5PB,NDUFS8,0.577
ATP5PB,CYC1,0.914
ATP5PB,COX5A,0.978
ATP5PB,COX8A,0.406
ATP5PB,NDUFV2,0.93
ATP5PB,NDUFA12,0.945
ATP5PB,UQCR10,0.639
ATP5PB,NDUFA4,0.767
ATP5PB,NDUFV3,0.47
ATP5PB,MT-ATP6,0.999
ATP5PB,MT-CO2,0.507
ATP5PB,MT-ATP8,0.999
ATP5PB,SDHC,0.715
ATP5PB,NDUFS2,0.85
ATP5PB,NDUFB2,0.416
ATP5PB,NDUFA4L2,0.416
ATP5PB,NDUFB1,0.447
ATP5PB,UQCR11,0.451
ATP5PB,COX6B2,0.458
ATP5PB,NDUFA1,0.5
ATP5PB,NDUFC1,0.526
ATP5PB,NDUFA11,0.563
ATP5PB,NDUFA3,0.565
ATP5PB,COX7B,0.583
ATP5PB,COX7A2,0.62
ATP5PB,VDAC1,0.631
ATP5PB,UQCRHL,0.639
ATP5PB,NDUFS5,0.642
ATP5PB,COX6B1,0.653
ATP5PB,NDUFA6,0.656
ATP5PB,NDUFA13,0.659
ATP5PB,SDHB,0.707
ATP5PB,NDUFV1,0.731
ATP5PB,COX6C,0.74
ATP5PB,NDUFA8,0.771
ATP5PB,NDUFAB1,0.805
ATP5PB,NDUFB3,0.812
ATP5PB,UQCRQ,0.819
ATP5PB,SDHD,0.832
ATP5PB,COX7C,0.87
ATP5PB,NDUFS1,0.886
ATP5PB,NDUFA5,0.889
ATP5PB,COX4I2,0.896
ATP5PB,NDUFB6,0.922
ATP5PB,COX4I1,0.935
ATP5PB,UQCRB,0.969
ATP5PB,ATP5PF,0.999
ATP5PD,NDUFB4,0.839
ATP5PD,UQCRC1,0.863
ATP5PD,NDUFB7,0.883
ATP5PD,PSMA3,0.428
ATP5PD,COX6A1,0.895
ATP5PD,NDUFS7,0.846
ATP5PD,NDUFA2,0.978
ATP5PD,NDUFA10,0.679
ATP5PD,COX5B,0.979
ATP5PD,NDUFB5,0.955
ATP5PD,PSMB1,0.438
ATP5PD,NDUFS3,0.954
ATP5PD,SDHA,0.643
ATP5PD,NDUFA9,0.836
ATP5PD,UQCRC2,0.875
ATP5PD,NDUFB10,0.973
ATP5PD,SOD1,0.446
ATP5PD,NDUFS6,0.901
ATP5PD,NDUFB9,0.985
ATP5PD,NDUFC2,0.857
ATP5PD,COX6A2,0.852
ATP5PD,ATP5PO,0.999
ATP5PD,NDUFS4,0.957
ATP5PD,NDUFB8,0.929
ATP5PD,NDUFA7,0.913
ATP5PD,MT-CO2,0.414
ATP5PD,PSMC5,0.422
ATP5PD,NDUFB2,0.44
ATP5PD,COX7A2L,0.442
ATP5PD,MT-CYB,0.46
ATP5PD,COX8A,0.545
ATP5PD,NDUFA11,0.554
ATP5PD,NDUFC1,0.57
ATP5PD,COX7B2,0.603
ATP5PD,NDUFB1,0.609
ATP5PD,CYCS,0.612
ATP5PD,NDUFS1,0.661
ATP5PD,NDUFA3,0.676
ATP5PD,NDUFA4L2,0.711
ATP5PD,NDUFA1,0.725
ATP5PD,VDAC1,0.735
ATP5PD,NDUFAB1,0.738
ATP5PD,COX7B,0.763
ATP5PD,CYC1,0.77
ATP5PD,COX6B2,0.779
ATP5PD,NDUFS2,0.785
ATP5PD,NDUFV1,0.806
ATP5PD,SDHD,0.818
ATP5PD,NDUFS8,0.82
ATP5PD,UQCRHL,0.84
ATP5PD,NDUFV3,0.841
ATP5PD,SDHC,0.847
ATP5PD,COX4I2,0.861
ATP5PD,NDUFS5,0.871
ATP5PD,NDUFA4,0.879
ATP5PD,COX6B1,0.879
ATP5PD,UQCRFS1,0.892
ATP5PD,NDUFV2,0.9
ATP5PD,UQCRH,0.911
ATP5PD,NDUFA13,0.918
ATP5PD,SDHB,0.925
ATP5PD,COX7A2,0.929
ATP5PD,NDUFB6,0.93
ATP5PD,NDUFB3,0.931
ATP5PD,UQCR11,0.944
ATP5PD,NDUFA6,0.947
ATP5PD,NDUFA5,0.951
ATP5PD,COX4I1,0.952
ATP5PD,UQCR10,0.957
ATP5PD,COX7C,0.962
ATP5PD,NDUFA12,0.966
ATP5PD,UQCRQ,0.967
ATP5PD,NDUFA8,0.97
ATP5PD,COX6C,0.975
ATP5PD,UQCRB,0.976
ATP5PD,COX5A,0.994
ATP5PD,MT-ATP8,0.998
ATP5PD,ATP5PF,0.999
ATP5PD,MT-ATP6,0.999
ATP5PF,NDUFB4,0.89
ATP5PF,UQCRC1,0.628
ATP5PF,NDUFB7,0.803
ATP5PF,COX6A1,0.681
ATP5PF,NDUFS7,0.497
ATP5PF,NDUFA2,0.688
ATP5PF,NDUFA10,0.532
ATP5PF,COX5B,0.834
ATP5PF,NDUFB5,0.909
ATP5PF,NDUFS3,0.904
ATP5PF,SDHA,0.522
ATP5PF,NDUFA9,0.602
ATP5PF,UQCRC2,0.849
ATP5PF,NDUFB10,0.792
ATP5PF,NDUFS6,0.719
ATP5PF,NDUFB9,0.917
ATP5PF,NDUFC2,0.808
ATP5PF,COX6A2,0.598
ATP5PF,ATP5PO,0.999
ATP5PF,NDUFS4,0.842
ATP5PF,NDUFB8,0.839
ATP5PF,NDUFA7,0.913
ATP5PF,UQCRFS1,0.843
ATP5PF,CYCS,0.472
ATP5PF,UQCRH,0.857
ATP5PF,NDUFS8,0.465
ATP5PF,CYC1,0.487
ATP5PF,COX5A,0.946
ATP5PF,COX8A,0.535
ATP5PF,NDUFV2,0.903
ATP5PF,NDUFA12,0.982
ATP5PF,UQCR10,0.862
ATP5PF,NDUFA4,0.963
ATP5PF,NDUFV3,0.603
ATP5PF,MT-ATP6,0.997
ATP5PF,MT-ATP8,0.986
ATP5PF,SDHC,0.589
ATP5PF,NDUFS2,0.598
ATP5PF,COX7A2,0.906
ATP5PF,NDUFA1,0.896
ATP5PF,NDUFS5,0.837
ATP5PF,NDUFA8,0.693
ATP5PF,SDHB,0.693
ATP5PF,SDHD,0.515
ATP5PF,COX4I2,0.681
ATP5PF,COX7A2L,0.417
ATP5PF,UQCRQ,0.904
ATP5PF,NDUFB6,0.984
ATP5PF,NDUFA4L2,0.828
ATP5PF,VDAC1,0.544
ATP5PF,NDUFA11,0.588
ATP5PF,NDUFV1,0.565
ATP5PF,NDUFA3,0.573
ATP5PF,NDUFC1,0.582
ATP5PF,NDUFS1,0.614
ATP5PF,COX6B2,0.655
ATP5PF,NDUFB2,0.664
ATP5PF,NDUFB1,0.683
ATP5PF,UQCRHL,0.688
ATP5PF,COX7B,0.696
ATP5PF,COX4I1,0.78
ATP5PF,NDUFAB1,0.799
ATP5PF,COX6B1,0.855
ATP5PF,COX6C,0.908
ATP5PF,NDUFA13,0.921
ATP5PF,UQCRB,0.925
ATP5PF,UQCR11,0.926
ATP5PF,NDUFB3,0.945
ATP5PF,NDUFA6,0.966
ATP5PF,COX7C,0.975
ATP5PF,NDUFA5,0.981
ATP5PO,NDUFB4,0.866
ATP5PO,UQCRC1,0.765
ATP5PO,NDUFB7,0.683
ATP5PO,COX6A1,0.723
ATP5PO,NDUFS7,0.614
ATP5PO,NDUFA2,0.639
ATP5PO,NDUFA10,0.542
ATP5PO,COX5B,0.974
ATP5PO,NDUFB5,0.855
ATP5PO,NDUFS3,0.958
ATP5PO,SDHA,0.667
ATP5PO,NDUFA9,0.783
ATP5PO,UQCRC2,0.975
ATP5PO,NDUFB10,0.86
ATP5PO,TP53,0.485
ATP5PO,SOD1,0.475
ATP5PO,NDUFS6,0.762
ATP5PO,NDUFB9,0.873
ATP5PO,NDUFC2,0.654
ATP5PO,COX6A2,0.552
ATP5PO,MT-ND5,0.444
ATP5PO,MT-ND2,0.447
ATP5PO,NDUFB1,0.453
ATP5PO,MT-ND1,0.453
ATP5PO,NDUFA11,0.459
ATP5PO,MT-ND3,0.46
ATP5PO,COX8A,0.461
ATP5PO,NDUFA7,0.462
ATP5PO,MT-CO3,0.473
ATP5PO,NDUFA3,0.482
ATP5PO,NDUFA4L2,0.494
ATP5PO,NDUFB2,0.5
ATP5PO,NDUFC1,0.506
ATP5PO,BCL2L1,0.509
ATP5PO,MT-CO1,0.545
ATP5PO,MT-CYB,0.571
ATP5PO,CYCS,0.593
ATP5PO,MT-CO2,0.603
ATP5PO,UQCR11,0.605
ATP5PO,NDUFA1,0.607
ATP5PO,VDAC1,0.625
ATP5PO,NDUFA13,0.626
ATP5PO,SDHC,0.644
ATP5PO,COX7B,0.65
ATP5PO,UQCRH,0.684
ATP5PO,COX6B1,0.691
ATP5PO,COX4I2,0.705
ATP5PO,NDUFS1,0.73
ATP5PO,NDUFV1,0.759
ATP5PO,NDUFB3,0.759
ATP5PO,UQCR10,0.761
ATP5PO,NDUFAB1,0.762
ATP5PO,NDUFS8,0.767
ATP5PO,NDUFA4,0.772
ATP5PO,SDHD,0.791
ATP5PO,NDUFA6,0.795
ATP5PO,COX7A2,0.808
ATP5PO,COX6C,0.828
ATP5PO,NDUFS5,0.831
ATP5PO,SDHB,0.834
ATP5PO,NDUFA8,0.852
ATP5PO,COX4I1,0.852
ATP5PO,NDUFS2,0.863
ATP5PO,NDUFB6,0.87
ATP5PO,NDUFB8,0.882
ATP5PO,UQCRQ,0.883
ATP5PO,NDUFA5,0.892
ATP5PO,NDUFA12,0.917
ATP5PO,CYC1,0.921
ATP5PO,NDUFV2,0.924
ATP5PO,COX7C,0.926
ATP5PO,UQCRFS1,0.938
ATP5PO,UQCRB,0.94
ATP5PO,COX5A,0.944
ATP5PO,NDUFS4,0.954
ATP5PO,MT-ATP8,0.994
ATP5PO,MT-ATP6,0.999
ATXN2,SETX,0.79
ATXN2,PFN1,0.597
ATXN2,FIG4,0.689
ATXN2,TARDBP,0.992
ATXN2,TUBA4A,0.446
ATXN2,FUS,0.924
ATXN2,EIF2S1,0.574
ATXN2,SPG11,0.694
ATXN2,CHMP2B,0.698
ATXN2,SOD1,0.661
ATXN2,SIGMAR1,0.472
ATXN2,WDR41,0.401
ATXN2,GLE1,0.435
ATXN2,CASP3,0.401
